TransactionId;MerchantCnpj;CheckoutCode;CipheredCardNumber;AmountInCent;Installments;AcquirerName;PaymentMethod;CardBrandName;Status;StatusInfo;CreatedAt;AcquirerAuthorizationDateTime
146;15593743000602;31703;************2745;1170;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:53:34.000;2018-02-28 23:54:28.000
147;17967556000154;28616;************9180;1074;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:52:09.000;2018-02-28 23:52:11.000
148;09429293000100;38686;************6818;2000;1;Getnet;Débito à Vista;Electron;Recusada;Senha Inválida - A senha digitada pelo cliente não confere.;2018-03-01 02:52:18.000;2018-02-28 23:52:18.000
149;00250435000194;42490;************9272;5465;1;Stone;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:51:37.000;2018-02-28 23:56:39.000
150;05310369000386;38333;************6117;2543;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:50:18.000;2018-02-28 23:51:02.000
151;30481457000126;39206;************8722;1049;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:51:01.000;2018-02-28 23:51:03.000
152;26835009000106;4366;************3360;3000;1;Cielo;Crédito à Vista;Visa;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:50:04.000;2018-02-28 23:50:07.000
153;00685267000160;42524;************1222;1550;1;Getnet;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:49:13.000;2018-02-28 23:49:56.000
154;11781106000439;9704;************1019;1713;1;Cielo;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:49:15.000;2018-02-28 23:50:00.000
155;11781106000196;17890;************4325;2424;1;Cielo;Débito à Vista;Electron;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:50:38.000;2018-02-28 23:50:40.000
156;05027195005812;34895;************317;4999;1;Cielo;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:50:17.000;2018-02-28 23:50:20.000
157;19005894000130;40798;************7668;6369;1;Redecard;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:49:37.000;2018-02-28 23:49:39.000
158;19005894000130;40798;************6746;6367;1;Redecard;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:49:03.000;2018-02-28 23:49:05.000
159;25403113000169;38218;************8243;350;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:49:10.000;2018-02-28 23:49:11.000
160;04404938000128;38837;************7025;10000;1;Getnet;Crédito à Vista;Mastercard;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:49:17.000;2018-02-28 23:49:15.000
161;15593743000602;31703;************7449;2320;1;Cielo;Débito à Vista;Elo Debito;Aprovada;Transação autorizada pela adquirente.;2018-03-01 02:48:44.000;2018-02-28 23:48:46.000
